GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
OpenNARS Logic Reasoner,nars.truth,BeliefFunction.new BeliefFunction() {...},9,6,2,0,2,1,2,1,1,1
OpenNARS Logic Reasoner,nars.truth,BeliefFunction.new BeliefFunction() {...},0,14,0,2,0,3,0,3,0,2
OpenNARS Logic Reasoner,nars.truth,BeliefFunction.new BeliefFunction() {...},0,14,0,2,0,3,0,3,0,2
OpenNARS Logic Reasoner,nars.truth,BeliefFunction.new BeliefFunction() {...},0,14,0,2,0,3,0,3,0,2
OpenNARS Logic Reasoner,nars.truth,DefaultTruth,30,25,0,0,8,9,4,3,4,3
OpenNARS Logic Reasoner,nars.truth,BeliefFunction.new BeliefFunction() {...},0,14,0,0,0,2,0,2,0,2
OpenNARS Logic Reasoner,nars.truth,BeliefFunction.new BeliefFunction() {...},0,14,0,2,0,3,0,3,0,2
OpenNARS Logic Reasoner,nars.truth,BeliefFunction.new BeliefFunction() {...},0,15,0,2,0,3,0,3,0,2
OpenNARS Logic Reasoner,nars.truth,BeliefFunction.new BeliefFunction() {...},0,18,0,2,0,3,0,3,0,2
OpenNARS Logic Reasoner,nars.truth,BeliefFunction.new BeliefFunction() {...},0,25,0,2,0,4,0,3,0,2
OpenNARS Logic Reasoner,nars.truth,BeliefFunction.new BeliefFunction() {...},0,13,0,2,0,3,0,3,0,2
OpenNARS Logic Reasoner,nars.truth,BeliefFunction.new BeliefFunction() {...},0,11,0,0,0,2,0,2,0,2
OpenNARS Logic Reasoner,nars.truth,BeliefFunction.new BeliefFunction() {...},0,15,0,2,0,3,0,3,0,2
OpenNARS Logic Reasoner,nars.truth,BeliefFunction.new BeliefFunction() {...},4,6,0,0,1,1,1,1,1,1
OpenNARS Logic Reasoner,nars.truth,BeliefFunction.new BeliefFunction() {...},0,13,0,2,0,3,0,3,0,2
OpenNARS Logic Reasoner,nars.truth,BeliefFunction.new BeliefFunction() {...},0,14,0,2,0,3,0,3,0,2
OpenNARS Logic Reasoner,nars.truth,BeliefFunction.new BeliefFunction() {...},0,14,0,2,0,3,0,3,0,2
OpenNARS Logic Reasoner,nars.truth,BeliefFunction.new BeliefFunction() {...},0,14,0,2,0,3,0,3,0,2
OpenNARS Logic Reasoner,nars.truth,BeliefFunction.new BeliefFunction() {...},0,15,0,2,0,3,0,3,0,2
OpenNARS Logic Reasoner,nars.truth,BeliefFunction.new BeliefFunction() {...},0,15,0,2,0,3,0,3,0,2
OpenNARS Logic Reasoner,nars.truth,TruthWave,318,0,32,0,50,0,20,0,4,0
OpenNARS Logic Reasoner,nars.truth,Truth.TruthComponent,48,0,0,0,2,0,4,0,4,0
OpenNARS Logic Reasoner,nars.truth,Truth,108,95,15,1,26,22,20,9,11,9
OpenNARS Logic Reasoner,nars.truth,ProjectedTruth,0,8,0,0,0,3,0,1,0,1
OpenNARS Logic Reasoner,nars.truth,AbstractScalarTruth,0,33,0,0,0,10,0,6,0,6
OpenNARS Logic Reasoner,nars.truth,TruthFunctions,36,695,1,3,8,152,5,34,4,33
OpenNARS Logic Reasoner,nars.truth,BeliefFunction,5,380,0,2,0,45,1,9,1,8
OpenNARS Logic Reasoner,nars.truth,MetaTruth,39,0,0,0,11,0,2,0,2,0
OpenNARS Logic Reasoner,nars.term,TermVector.RecursiveTermContentException,8,0,0,0,3,0,1,0,1,0
OpenNARS Logic Reasoner,nars.term,TermPrinter.new Object() {...},5,35,0,0,0,1,0,1,0,1
OpenNARS Logic Reasoner,nars.term,Statement,6,85,4,18,3,24,4,13,0,6
OpenNARS Logic Reasoner,nars.term,TermBuilder,126,1282,38,184,22,235,37,124,1,42
OpenNARS Logic Reasoner,nars.term,TermBuilder.new Object() {...},14,89,0,0,0,1,0,1,0,1
OpenNARS Logic Reasoner,nars.term,TermPrinter,101,343,7,43,28,89,10,29,4,9
OpenNARS Logic Reasoner,nars.term,Termlike,4,67,3,13,0,10,3,12,0,7
OpenNARS Logic Reasoner,nars.term,TermSet,0,49,0,2,0,11,0,7,0,6
OpenNARS Logic Reasoner,nars.term,Terms.new Object() {...},2,17,0,0,0,1,0,1,0,1
OpenNARS Logic Reasoner,nars.term,TermIndex,29,133,1,7,6,24,3,11,2,8
OpenNARS Logic Reasoner,nars.term,Term,22,104,0,18,6,19,4,24,4,15
OpenNARS Logic Reasoner,nars.term,TermVector,140,374,22,34,28,80,25,38,9,26
OpenNARS Logic Reasoner,nars.term,Termed,18,4,0,0,4,1,4,1,4,1
OpenNARS Logic Reasoner,nars.term,Terms,250,531,33,82,53,120,38,51,17,13
OpenNARS Logic Reasoner,nars.term,TermContainer,163,172,25,31,32,31,19,24,5,10
OpenNARS Logic Reasoner,nars.task.in,Twenglish.new HashMap() {...},163,0,0,0,34,0,1,0,1,0
OpenNARS Logic Reasoner,nars.task.in,TextInput,0,16,0,0,0,4,0,2,0,2
OpenNARS Logic Reasoner,nars.task.in,ChangedTextInput,49,0,8,0,16,0,9,0,5,0
OpenNARS Logic Reasoner,nars.task.in,Twenglish,414,0,70,0,82,0,49,0,10,0
OpenNARS Logic Reasoner,nars.task.in,SometimesChangedTextInput,25,0,4,0,6,0,5,0,3,0
OpenNARS Logic Reasoner,nars.task.in,ReaderInput,59,0,2,0,20,0,8,0,7,0
OpenNARS Logic Reasoner,nars.task.in,FileInput,29,0,0,0,6,0,4,0,4,0
OpenNARS Logic Reasoner,nars.task.in,PrintWriterInput,43,0,0,0,16,0,3,0,3,0
OpenNARS Logic Reasoner,nars.task.in,NQuadsRDF,282,226,48,22,52,59,40,9,6,8
OpenNARS Logic Reasoner,nars.task.in,LibraryInput,405,0,36,0,64,0,33,0,15,0
OpenNARS Logic Reasoner,nars.op.software.befunge,Board,23,0,0,0,6,0,3,0,3,0
OpenNARS Logic Reasoner,nars.op.software.befunge,BefungeStack,40,0,4,0,7,0,6,0,4,0
OpenNARS Logic Reasoner,nars.op.software.befunge,Pointer,644,0,14,0,112,0,33,0,26,0
OpenNARS Logic Reasoner,nars.op.software.befunge,Setup,73,0,10,0,11,0,10,0,5,0
OpenNARS Logic Reasoner,nars.nar,Default.AbstractCycle.AlannForget,0,103,0,4,0,27,0,6,0,4
OpenNARS Logic Reasoner,nars.nar,Default.AbstractCycle,10,232,1,5,2,51,1,12,0,10
OpenNARS Logic Reasoner,nars.nar,Default,17,148,4,4,4,31,4,11,1,10
OpenNARS Logic Reasoner,nars.nar,Default.DefaultCycle,97,69,4,4,18,17,8,4,5,3
OpenNARS Logic Reasoner,nars.nar,AbstractNAR,34,361,3,9,9,45,5,14,2,11
OpenNARS Logic Reasoner,nars.nar,Terminal,16,38,0,0,5,9,4,4,4,4
OpenNARS Logic Reasoner,nars.op.software,js.DynamicFunction,56,0,0,0,18,0,2,0,2,0
OpenNARS Logic Reasoner,nars.op.software,js.jsop,37,0,0,0,8,0,2,0,2,0
OpenNARS Logic Reasoner,nars.op.software,js,95,13,4,0,21,3,4,2,2,2
OpenNARS Logic Reasoner,nars.op.software,js.new ThreadLocal() {...},13,3,0,0,3,1,1,1,1,1
OpenNARS Logic Reasoner,nars.term.constraint,NotEqualsConstraint,13,16,2,0,4,4,2,2,1,2
OpenNARS Logic Reasoner,nars.term.constraint,NoCommonSubtermsConstraint,74,18,18,0,19,4,12,2,3,2
OpenNARS Logic Reasoner,nars.term.constraint,NotOpConstraint,11,17,0,0,3,4,2,2,2,2
OpenNARS Logic Reasoner,nars.term.constraint,AndConstraint,32,30,5,1,5,5,4,2,1,2
OpenNARS Logic Reasoner,nars.util,ArraySortedIndex,96,310,13,43,19,93,23,37,12,20
OpenNARS Logic Reasoner,nars.util,CollectorMap,72,91,5,13,11,26,10,13,5,9
OpenNARS Logic Reasoner,nars.bag.impl,DigestBag,0,21,0,0,0,5,0,2,0,2
OpenNARS Logic Reasoner,nars.bag.impl,CurveBag.Power2BagCurve,6,3,0,0,2,1,2,1,2,1
OpenNARS Logic Reasoner,nars.bag.impl,CurveBag.CubicBagCurve,17,0,0,0,4,0,3,0,3,0
OpenNARS Logic Reasoner,nars.bag.impl,CurveBag.Power4BagCurve,2,11,0,0,1,3,1,2,1,2
OpenNARS Logic Reasoner,nars.bag.impl,DigestBag.OutputBuffer,26,23,2,0,5,5,2,1,1,1
OpenNARS Logic Reasoner,nars.bag.impl,DigestBag.new ArraySortedIndex() {...},0,10,0,0,0,2,0,2,0,2
OpenNARS Logic Reasoner,nars.bag.impl,ArrayTable,99,118,14,4,21,31,13,19,6,17
OpenNARS Logic Reasoner,nars.bag.impl,ArrayTable.ArrayMapping,2,37,1,3,1,11,1,5,0,4
OpenNARS Logic Reasoner,nars.bag.impl,ArrayBag.BudgetedArraySortedIndex,0,10,0,0,0,3,0,2,0,2
OpenNARS Logic Reasoner,nars.bag.impl,ArrayBag,143,240,15,25,27,68,18,26,7,17
OpenNARS Logic Reasoner,nars.bag.impl,CurveBag.Power6BagCurve,12,3,0,0,3,1,2,1,2,1
OpenNARS Logic Reasoner,nars.bag.impl,CurveBag,52,239,10,14,14,66,15,28,6,25
OpenNARS Logic Reasoner,nars.task.flow,TaskQueue,29,21,4,2,11,9,6,5,4,4
OpenNARS Logic Reasoner,nars.task.flow,SortedTaskPerception,93,0,8,0,26,0,13,0,9,0
OpenNARS Logic Reasoner,nars.task.flow,TaskPerception.TaskBufferStats,73,0,4,0,14,0,6,0,4,0
OpenNARS Logic Reasoner,nars.task.flow,Perception,17,0,4,0,5,0,4,0,2,0
OpenNARS Logic Reasoner,nars.task.flow,SetTaskPerception,17,56,3,5,3,14,4,5,1,4
OpenNARS Logic Reasoner,nars.task.flow,TaskStream,0,23,0,2,0,8,0,4,0,3
OpenNARS Logic Reasoner,nars.task.flow,FIFOTaskPerception,63,45,9,3,17,13,10,3,4,3
OpenNARS Logic Reasoner,nars.task.flow,TaskPerception,11,35,0,0,3,8,1,4,1,4
OpenNARS Logic Reasoner,nars.task.flow,Input,5,55,1,7,1,15,1,5,0,2
OpenNARS Logic Reasoner,nars.op.data,Flat.flatProduct,3,3,0,0,1,1,1,1,1,1
OpenNARS Logic Reasoner,nars.op.data,similaritree,37,3,2,0,6,1,2,1,1,1
OpenNARS Logic Reasoner,nars.op.data,Cons,3,0,0,0,1,0,1,0,1,0
OpenNARS Logic Reasoner,nars.op.data,ToStringTerm,3,0,0,0,1,0,1,0,1,0
OpenNARS Logic Reasoner,nars.op.data,Flat,52,3,8,0,8,1,6,1,2,1
OpenNARS Logic Reasoner,nars.task,Task,238,703,42,111,58,152,50,82,21,34
OpenNARS Logic Reasoner,nars.task,Task.ConfidenceComparator,14,0,0,0,3,0,3,0,3,0
OpenNARS Logic Reasoner,nars.task,Temporal,19,19,1,1,7,4,4,2,3,2
OpenNARS Logic Reasoner,nars.task,Task.TaskState,9,29,0,0,0,3,2,2,2,2
OpenNARS Logic Reasoner,nars.task,Task.Solution,0,14,0,0,0,3,0,2,0,2
OpenNARS Logic Reasoner,nars.task,AbstractTask,184,591,55,83,32,169,51,67,5,44
OpenNARS Logic Reasoner,nars.task,MutableTask,37,231,5,15,9,71,8,31,3,26
OpenNARS Logic Reasoner,nars.task,Tasked,9,0,2,0,3,0,2,0,1,0
OpenNARS Logic Reasoner,nars.task,Task.ExpectationComparator,14,0,0,0,3,0,3,0,3,0
OpenNARS Logic Reasoner,nars.task,MeterTask,25,0,0,0,5,0,3,0,3,0
OpenNARS Logic Reasoner,nars.op.software.scheme.expressions,NumberExpression,20,31,1,3,2,6,3,5,2,4
OpenNARS Logic Reasoner,nars.op.software.scheme.expressions,Expression.new Expression() {...},2,5,0,0,1,2,1,2,1,2
OpenNARS Logic Reasoner,nars.op.software.scheme.expressions,Expression,14,78,0,2,3,15,3,14,3,13
OpenNARS Logic Reasoner,nars.op.software.scheme.expressions,ProcedureExpression,35,24,4,0,4,6,6,4,4,4
OpenNARS Logic Reasoner,nars.op.software.scheme.expressions,SymbolExpression,0,12,0,0,0,4,0,3,0,3
OpenNARS Logic Reasoner,nars.op.software.scheme.expressions,StringExpression,44,0,4,0,8,0,8,0,6,0
OpenNARS Logic Reasoner,nars.op.software.scheme.expressions,SymbolicProcedureExpression,13,10,0,0,1,4,1,1,1,1
OpenNARS Logic Reasoner,nars.op.software.scheme.expressions,ListExpression.Nil,0,11,0,0,0,4,0,3,0,3
OpenNARS Logic Reasoner,nars.op.software.scheme.expressions,ListExpression,53,35,2,4,9,8,7,5,5,4
OpenNARS Logic Reasoner,nars.op.software.scheme.expressions,BooleanExpression,25,26,5,3,3,5,6,4,3,3
OpenNARS Logic Reasoner,nars.op.io,say,0,3,0,0,0,1,0,1,0,1
OpenNARS Logic Reasoner,nars.op.io,reset,7,3,0,0,3,1,2,1,2,1
OpenNARS Logic Reasoner,nars.op.io,echo,9,3,0,0,2,1,1,1,1,1
OpenNARS Logic Reasoner,nars.op.io,schizo,0,3,0,0,0,1,0,1,0,1
OpenNARS Logic Reasoner,nars.task.filter,SentenceEquivalentToParentTasks,3,0,0,0,1,0,1,0,1,0
OpenNARS Logic Reasoner,nars.task.filter,FilterDuplicateExistingBelief,18,0,0,0,1,0,4,0,4,0
OpenNARS Logic Reasoner,nars.nal,Level,68,0,4,0,5,0,7,0,5,0
OpenNARS Logic Reasoner,nars.nal,LocalRules,36,298,4,32,3,70,7,23,3,9
OpenNARS Logic Reasoner,nars.nal,Tense.new Object() {...},3,23,0,0,0,1,0,1,0,1
OpenNARS Logic Reasoner,nars.nal,UtilityFunctions,114,50,12,2,17,8,11,6,5,5
OpenNARS Logic Reasoner,nars.nal,Deriver,11,40,0,4,6,15,1,7,1,5
OpenNARS Logic Reasoner,nars.nal,Tense,88,323,16,38,16,59,19,31,6,16
OpenNARS Logic Reasoner,nars.term.variable,CommonVariable,14,79,3,9,3,20,4,10,1,7
OpenNARS Logic Reasoner,nars.term.variable,Variable.VarQuery,0,26,0,0,0,8,0,7,0,7
OpenNARS Logic Reasoner,nars.term.variable,Variable,4,37,0,2,2,9,1,9,1,8
OpenNARS Logic Reasoner,nars.term.variable,Variable.VarIndep,0,26,0,0,0,8,0,7,0,7
OpenNARS Logic Reasoner,nars.term.variable,Variable.VarDep,0,26,0,0,0,8,0,7,0,7
OpenNARS Logic Reasoner,nars.java,AtomObject,10,0,0,0,4,0,2,0,2,0
OpenNARS Logic Reasoner,nars.java,NALObjects.InvocationResult,0,8,0,0,0,4,0,2,0,2
OpenNARS Logic Reasoner,nars.java,MethodOperator,52,186,9,13,12,47,9,7,0,5
OpenNARS Logic Reasoner,nars.java,DefaultTermizer,109,485,29,53,19,116,25,36,2,18
OpenNARS Logic Reasoner,nars.java,ReflectionAnswers,3,0,0,0,1,0,1,0,1,0
OpenNARS Logic Reasoner,nars.java,DefaultTermizer.new HashSet() {...},0,43,0,0,0,12,0,1,0,1
OpenNARS Logic Reasoner,nars.java,NALObjects,68,356,5,25,19,71,9,26,5,15
OpenNARS Logic Reasoner,nars.java,jclass,49,0,2,0,10,0,3,0,2,0
OpenNARS Logic Reasoner,nars.java,Termizer,0,16,0,0,0,5,0,1,0,1
OpenNARS Logic Reasoner,nars.java,NALObjects.new HashSet() {...},0,35,0,0,0,10,0,1,0,1
OpenNARS Logic Reasoner,nars.budget,ItemAccumulator.new ArraySortedIndex() {...},0,10,0,0,0,2,0,2,0,2
OpenNARS Logic Reasoner,nars.budget,BudgetFunctions,34,191,5,7,5,42,10,9,5,8
OpenNARS Logic Reasoner,nars.budget,TaskAccumulator,0,4,0,0,0,2,0,1,0,1
OpenNARS Logic Reasoner,nars.budget,ItemAccumulator,0,27,0,0,0,7,0,3,0,3
OpenNARS Logic Reasoner,nars.budget,BagAggregateBudget,166,0,8,0,51,0,21,0,17,0
OpenNARS Logic Reasoner,nars.budget,ItemAccumulator.MyArrayBag,5,25,0,0,1,8,1,4,1,4
OpenNARS Logic Reasoner,nars.budget,BudgetedHandle,16,7,0,0,4,2,4,2,4,2
OpenNARS Logic Reasoner,nars.budget,Budget,200,236,32,10,32,49,28,25,9,23
OpenNARS Logic Reasoner,nars.budget,BudgetMerge,91,50,8,8,15,11,5,6,1,2
OpenNARS Logic Reasoner,nars.budget,Item,143,6,12,0,32,2,14,1,8,1
OpenNARS Logic Reasoner,nars.budget,UnitBudget,73,96,8,2,20,32,14,14,9,14
OpenNARS Logic Reasoner,nars.nal.nal8.decide,DecideAllGoals,1,15,1,1,0,3,1,3,0,3
OpenNARS Logic Reasoner,nars.nal.nal8.decide,DecideAboveDecisionThreshold.DecideTaskDesireAboveDecisionThreshold,17,0,2,0,6,0,3,0,2,0
OpenNARS Logic Reasoner,nars.nal.nal8.decide,DecideAboveDecisionThreshold,25,0,4,0,6,0,4,0,2,0
OpenNARS Logic Reasoner,nars.bag,BLink,15,267,2,12,3,57,5,26,3,21
OpenNARS Logic Reasoner,nars.bag,NullBag,33,0,0,0,18,0,18,0,18,0
OpenNARS Logic Reasoner,nars.bag,Table,11,7,0,2,5,1,3,2,3,1
OpenNARS Logic Reasoner,nars.bag,Bag,190,91,15,5,37,18,25,8,17,6
OpenNARS Logic Reasoner,nars.nal.nal8.operator,NullOperator,0,8,0,0,0,5,0,3,0,3
OpenNARS Logic Reasoner,nars.nal.nal8.operator,AsynchOperator,5,0,0,0,2,0,2,0,2,0
OpenNARS Logic Reasoner,nars.nal.nal8.operator,SyncOperator,0,13,0,0,0,6,0,3,0,3
OpenNARS Logic Reasoner,nars.nal.nal8.operator,ImmediateOperator,0,19,0,0,0,7,0,3,0,3
OpenNARS Logic Reasoner,nars.nal.nal8.operator,TermFunction,139,103,20,8,35,29,18,8,5,7
OpenNARS Logic Reasoner,nars.op.software.scheme.exception,VariableNotDefinedException,11,0,0,0,2,0,1,0,1,0
OpenNARS Logic Reasoner,nars.op.software.scheme.exception,UnmatchedParenthesisExpection,0,4,0,0,0,2,0,1,0,1
OpenNARS Logic Reasoner,nars.op.software.scheme.exception,UnexpectedExpression,0,4,0,0,0,2,0,1,0,1
OpenNARS Logic Reasoner,nars.op.software.scheme.exception,SchemeError,4,0,0,0,2,0,1,0,1,0
OpenNARS Logic Reasoner,nars.op.software.scheme.exception,UnmatchedDoubleQuotes,4,0,0,0,2,0,1,0,1,0
OpenNARS Logic Reasoner,nars.term.compound,GenericCompound,26,288,3,27,7,67,8,44,5,32
OpenNARS Logic Reasoner,nars.term.compound,Compound,142,163,17,17,20,39,18,22,8,15
OpenNARS Logic Reasoner,nars.util.meter.condition,ExecutionCondition,78,35,10,0,12,10,10,1,5,1
OpenNARS Logic Reasoner,nars.util.meter.condition,NARCondition,19,0,2,0,7,0,3,0,2,0
OpenNARS Logic Reasoner,nars.util.meter.condition,TemporalTaskCondition,3,57,3,3,0,8,3,3,0,3
OpenNARS Logic Reasoner,nars.util.meter.condition,EternalTaskCondition,169,569,37,71,28,121,37,43,8,18
OpenNARS Logic Reasoner,nars.nal.nal8,PatternAnswer,23,16,0,0,4,5,3,2,3,2
OpenNARS Logic Reasoner,nars.nal.nal8,AbstractOperator,34,53,2,6,6,20,5,10,3,8
OpenNARS Logic Reasoner,nars.nal.nal8,Operator,43,118,14,2,8,28,9,16,1,16
OpenNARS Logic Reasoner,nars.nal.nal8,Execution,15,94,3,5,4,29,6,9,3,8
OpenNARS Logic Reasoner,nars.nal.nal8,PatternOperation,17,16,0,0,1,5,1,2,1,2
OpenNARS Logic Reasoner,nars.nal.op,substituteIfUnifies,0,59,0,4,0,16,0,5,0,3
OpenNARS Logic Reasoner,nars.nal.op,ImmediateTermTransform,0,3,0,0,0,1,0,1,0,1
OpenNARS Logic Reasoner,nars.nal.op,substituteIfUnifies.new FindSubst() {...},2,5,0,0,1,1,1,1,1,1
OpenNARS Logic Reasoner,nars.nal.op,union,10,3,0,0,1,1,1,1,1,1
OpenNARS Logic Reasoner,nars.nal.op,differ,0,13,0,0,0,2,0,2,0,2
OpenNARS Logic Reasoner,nars.nal.op,BinaryTermOperator,12,17,1,1,1,3,1,2,0,2
OpenNARS Logic Reasoner,nars.nal.op,compare,3,0,0,0,1,0,1,0,1,0
OpenNARS Logic Reasoner,nars.nal.op,occurr,0,88,1,13,0,18,1,9,0,3
OpenNARS Logic Reasoner,nars.nal.op,UnaryTermOperator,26,0,2,0,4,0,3,0,2,0
OpenNARS Logic Reasoner,nars.nal.op,substitute,26,107,4,6,4,24,4,10,1,8
OpenNARS Logic Reasoner,nars.nal.op,intersect,0,13,0,0,0,2,0,2,0,2
OpenNARS Logic Reasoner,nars.op.software.scheme,scheme.new Function() {...},0,45,0,4,0,9,0,5,0,3
OpenNARS Logic Reasoner,nars.op.software.scheme,DefaultEnvironment,207,403,11,11,19,82,27,38,20,34
OpenNARS Logic Reasoner,nars.op.software.scheme,scheme.SchemeProduct,12,38,1,3,1,10,1,3,0,2
OpenNARS Logic Reasoner,nars.op.software.scheme,scheme,10,48,1,3,1,13,1,4,0,3
OpenNARS Logic Reasoner,nars.op.software.scheme,Repl,161,10,14,0,37,4,20,1,13,1
OpenNARS Logic Reasoner,nars.op.software.scheme,Lispy.Env,53,0,2,0,9,0,6,0,5,0
OpenNARS Logic Reasoner,nars.op.software.scheme,Evaluator,173,634,22,62,20,98,24,75,6,44
OpenNARS Logic Reasoner,nars.op.software.scheme,SchemeClosure,136,59,24,4,20,19,21,7,8,6
OpenNARS Logic Reasoner,nars.op.software.scheme,Lispy,684,0,74,0,86,0,84,0,42,0
OpenNARS Logic Reasoner,nars.op.software.scheme,Reader,88,279,17,43,12,53,17,27,3,11
OpenNARS Logic Reasoner,nars.op.software.scheme,Util,28,0,0,0,3,0,6,0,6,0
OpenNARS Logic Reasoner,nars.util.data,ObjIntConceptMap,111,0,12,0,29,0,16,0,10,0
OpenNARS Logic Reasoner,nars.util.data,VectorMap,0,54,0,0,0,10,0,2,0,2
OpenNARS Logic Reasoner,nars.util.data,SeedConceptMap,20,0,0,0,6,0,3,0,3,0
OpenNARS Logic Reasoner,nars.util.data,UniformVector,5,166,4,18,1,30,4,11,0,4
OpenNARS Logic Reasoner,nars.util.data,ConceptSet,63,0,6,0,14,0,10,0,7,0
OpenNARS Logic Reasoner,nars.util.data,MutableConceptMap,35,0,2,0,9,0,6,0,5,0
OpenNARS Logic Reasoner,nars.util.data,ConceptMap,80,0,0,0,24,0,9,0,9,0
OpenNARS Logic Reasoner,nars.term.match,EllipsisMatch,30,95,0,10,8,16,7,14,7,9
OpenNARS Logic Reasoner,nars.term.match,Ellipsis,0,57,0,8,0,15,0,8,0,4
OpenNARS Logic Reasoner,nars.term.match,ImageMatch,14,79,0,6,0,17,3,6,3,3
OpenNARS Logic Reasoner,nars.term.match,EllipsisTransform,61,56,8,4,13,8,6,4,2,2
OpenNARS Logic Reasoner,nars.term.match,EllipsisOneOrMore,7,21,0,2,1,6,1,5,1,4
OpenNARS Logic Reasoner,nars.term.match,EllipsisZeroOrMore,8,15,1,1,1,4,2,3,1,3
OpenNARS Logic Reasoner,nars.term.match,VarPattern,0,28,0,0,0,9,0,8,0,8
OpenNARS Logic Reasoner,nars.util.meter.bag,BagGenerators,179,0,18,0,37,0,16,0,7,0
OpenNARS Logic Reasoner,nars.util.meter.bag,NullItem,3,32,0,0,1,9,1,4,1,4
OpenNARS Logic Reasoner,nars.util.event,CycleReaction,4,17,0,0,1,7,1,3,1,3
OpenNARS Logic Reasoner,nars.util.event,FrameReaction,15,12,2,0,6,5,3,2,2,2
OpenNARS Logic Reasoner,nars.util.event,NARReaction,42,0,0,0,12,0,6,0,6,0
OpenNARS Logic Reasoner,nars.util.event,AnswerReaction,40,66,9,5,13,18,11,3,4,3
OpenNARS Logic Reasoner,nars.concept,Concept,143,306,35,27,26,67,29,26,7,17
OpenNARS Logic Reasoner,nars.concept,Concept.new Ordering() {...},6,3,0,0,3,1,1,1,1,1
OpenNARS Logic Reasoner,nars.concept,ConceptProcess,29,196,4,16,4,46,5,16,1,10
OpenNARS Logic Reasoner,nars.concept,AtomConcept,24,116,1,9,8,27,8,12,7,8
OpenNARS Logic Reasoner,nars.concept,DefaultConcept.new BiPredicate() {...},0,7,0,0,0,2,0,2,0,2
OpenNARS Logic Reasoner,nars.concept,TermLinkBuilder,14,158,3,31,0,42,6,18,3,4
OpenNARS Logic Reasoner,nars.concept,AbstractConcept,7,40,1,5,3,10,3,8,2,6
OpenNARS Logic Reasoner,nars.concept,DefaultConcept,34,321,8,35,3,72,8,30,0,15
OpenNARS Logic Reasoner,nars.util.meter.experiment,DeductiveChainTest.new DeductiveChainTest() {...},7,0,0,0,1,0,1,0,1,0
OpenNARS Logic Reasoner,nars.util.meter.experiment,DeductiveChainTest,130,91,4,4,19,16,8,6,6,4
OpenNARS Logic Reasoner,nars.nar.experimental,AbstractAlann,17,0,0,0,4,0,1,0,1,0
OpenNARS Logic Reasoner,nars.nar.experimental,DefaultAlann.MyDeriveletContext,17,0,0,0,4,0,2,0,2,0
OpenNARS Logic Reasoner,nars.nar.experimental,DeriveletContext,26,0,0,0,9,0,4,0,4,0
OpenNARS Logic Reasoner,nars.nar.experimental,Derivelet,166,152,18,14,38,28,16,10,7,3
OpenNARS Logic Reasoner,nars.nar.experimental,DefaultAlann,123,0,8,0,30,0,13,0,9,0
